a b S_T
1e-04 0.1 992.26
1e-04 0.15 998.015
1e-04 0.2 999.0175
1e-04 0.25 999.22
1e-04 0.3 999.615
1e-04 0.35 999.6225
1e-04 0.4 999.6675
1e-04 0.45 999.685
1e-04 0.5 999.745
2e-04 0.1 642.74
2e-04 0.15 923.27
2e-04 0.2 988.6475
2e-04 0.25 996.2425
2e-04 0.3 998.265
2e-04 0.35 998.655
2e-04 0.4 999.1425
2e-04 0.45 999.1225
2e-04 0.5 999.4325
3e-04 0.1 351.175
3e-04 0.15 587.4
3e-04 0.2 805.115
3e-04 0.25 943.79
3e-04 0.3 987.935
3e-04 0.35 995.095
3e-04 0.4 997.29
3e-04 0.45 997.985
3e-04 0.5 998.825
4e-04 0.1 205.8225
4e-04 0.15 376.255
4e-04 0.2 589.43
4e-04 0.25 711.855
4e-04 0.3 859.015
4e-04 0.35 960.56
4e-04 0.4 984.8725
4e-04 0.45 994.03
4e-04 0.5 995.9125
5e-04 0.1 173.465
5e-04 0.15 314.3225
5e-04 0.2 420.6125
5e-04 0.25 551.575
5e-04 0.3 670.5225
5e-04 0.35 823.4675
5e-04 0.4 915.92
5e-04 0.45 965.0725
5e-04 0.5 985.1725
6e-04 0.1 122.2575
6e-04 0.15 244.855
6e-04 0.2 297.005
6e-04 0.25 395.24
6e-04 0.3 517.5875
6e-04 0.35 676.23
6e-04 0.4 764.7225
6e-04 0.45 857.2
6e-04 0.5 938.4425
7e-04 0.1 125.805
7e-04 0.15 140.83
7e-04 0.2 258.98
7e-04 0.25 352.455
7e-04 0.3 417.26
7e-04 0.35 538.4925
7e-04 0.4 613.6725
7e-04 0.45 715.09
7e-04 0.5 828.01
8e-04 0.1 85.3325
8e-04 0.15 159.2375
8e-04 0.2 201.13
8e-04 0.25 228.43
8e-04 0.3 335.9
8e-04 0.35 456.0125
8e-04 0.4 502.3525
8e-04 0.45 597.1075
8e-04 0.5 683.835
9e-04 0.1 60.105
9e-04 0.15 87.2875
9e-04 0.2 127.775
9e-04 0.25 246.375
9e-04 0.3 282.6875
9e-04 0.35 343.9875
9e-04 0.4 444.3475
9e-04 0.45 494.5975
9e-04 0.5 596.925
0.001 0.1 57.5375
0.001 0.15 118.61
0.001 0.2 133.4075
0.001 0.25 178.9425
0.001 0.3 233.1675
0.001 0.35 285.6775
0.001 0.4 335.2375
0.001 0.45 413.0825
0.001 0.5 480.885
